episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
163,36500,"(1, 9, 0, 176)",1,0.45,"(1, 10, 0, 175)",0,0.382969,0.394081,0.074078,0.15,0.99,0.723016
165,37000,"(3, 14, 0, 126)",1,-0.55,"(3, 15, 0, 125)",0,-0.308635,-0.338221,-0.197243,0.15,0.99,0.720126
167,37500,"(1, 9, 0, 76)",0,-1.05,"(1, 9, 0, 75)",0,-0.528491,-0.514749,0.091612,0.15,0.99,0.717249
169,38000,"(5, 1, 0, 26)",2,-0.55,"(6, 1, 0, 25)",0,-0.607216,-0.586077,0.140931,0.15,0.99,0.714383
172,38500,"(3, 2, 0, 201)",1,0.45,"(3, 3, 0, 200)",0,-0.99275,-0.976595,0.107699,0.15,0.99,0.710105
174,39000,"(4, 3, 0, 151)",3,0.45,"(3, 3, 0, 150)",0,-1.816564,-1.742029,0.4969,0.15,0.99,0.707267
176,39500,"(5, 5, 0, 101)",3,0.45,"(5, 4, 0, 100)",0,0.612949,0.612612,-0.002243,0.15,0.99,0.704441
178,40000,"(3, 3, 0, 51)",0,0.45,"(2, 3, 0, 50)",0,-1.020923,-1.049374,-0.189676,0.15,0.99,0.701626
180,40500,"(5, 5, 0, 1)",1,-20.55,"(5, 6, 0, 0)",1,-0.77389,-3.740307,-19.77611,0.15,0.99,0.698823
183,41000,"(5, 5, 0, 176)",1,-1.05,"(5, 5, 0, 175)",0,-0.195729,-0.315002,-0.795156,0.15,0.99,0.694638
185,41500,"(2, 3, 0, 126)",2,-0.55,"(3, 3, 0, 125)",0,-2.405156,-2.395879,0.061852,0.15,0.99,0.691862
187,42000,"(5, 14, 0, 76)",2,-1.05,"(5, 14, 0, 75)",0,-0.352582,-0.469988,-0.782706,0.15,0.99,0.689098
189,42500,"(3, 1, 0, 26)",2,-0.55,"(4, 1, 0, 25)",0,-1.638025,-1.672953,-0.232856,0.15,0.99,0.686344
