episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
143,32000,"(1, 4, 0, 176)",0,-0.05,"(1, 4, 0, 175)",0,-0.109751,-0.117087,-0.048902,0.15,0.99,0.752553
145,32500,"(8, 1, 0, 126)",0,-0.05,"(7, 1, 0, 125)",0,-0.094103,-0.102687,-0.057227,0.15,0.99,0.749545
147,33000,"(1, 4, 0, 76)",0,-0.05,"(1, 4, 0, 75)",0,-0.100097,-0.106877,-0.045198,0.15,0.99,0.74655
149,33500,"(15, 6, 0, 26)",1,-0.05,"(15, 7, 0, 25)",0,-0.0239,-0.030986,-0.047241,0.15,0.99,0.743567
152,34000,"(8, 1, 0, 201)",2,-0.05,"(9, 1, 0, 200)",0,-0.080862,-0.082286,-0.009491,0.15,0.99,0.739115
154,34500,"(3, 7, 0, 151)",2,-0.05,"(3, 7, 0, 150)",0,-0.099605,-0.106584,-0.046527,0.15,0.99,0.736161
156,35000,"(10, 13, 0, 101)",2,-0.05,"(11, 13, 0, 100)",0,-0.055785,-0.058254,-0.016456,0.15,0.99,0.733219
158,35500,"(7, 13, 0, 51)",2,-0.05,"(8, 13, 0, 50)",0,-0.038912,-0.047996,-0.060562,0.15,0.99,0.730289
160,36000,"(8, 5, 0, 1)",0,-0.05,"(8, 5, 0, 0)",1,-0.089425,-0.083512,0.039425,0.15,0.99,0.727371
163,36500,"(9, 5, 0, 176)",3,-0.05,"(9, 4, 0, 175)",0,-0.047101,-0.057873,-0.071811,0.15,0.99,0.723016
165,37000,"(1, 8, 0, 126)",1,-0.05,"(1, 9, 0, 125)",0,-0.092487,-0.098512,-0.040166,0.15,0.99,0.720126
167,37500,"(7, 12, 0, 76)",3,-0.05,"(7, 11, 0, 75)",0,-0.07483,-0.081026,-0.041312,0.15,0.99,0.717249
169,38000,"(2, 1, 0, 26)",1,-0.05,"(2, 1, 0, 25)",0,-0.094973,-0.101721,-0.044992,0.15,0.99,0.714383
172,38500,"(3, 2, 0, 201)",1,-0.05,"(3, 3, 0, 200)",0,-0.256011,-0.255154,0.005715,0.15,0.99,0.710105
174,39000,"(1, 11, 0, 151)",1,-0.05,"(1, 11, 0, 150)",0,-0.046164,-0.053187,-0.046822,0.15,0.99,0.707267
176,39500,"(1, 10, 0, 101)",2,-0.05,"(1, 10, 0, 100)",0,-0.092144,-0.099506,-0.049079,0.15,0.99,0.704441
178,40000,"(7, 5, 0, 51)",1,-0.05,"(7, 6, 0, 50)",0,-0.113027,-0.117681,-0.031027,0.15,0.99,0.701626
180,40500,"(13, 11, 0, 1)",3,-0.05,"(13, 11, 0, 0)",1,0.0,-0.0075,-0.05,0.15,0.99,0.698823
183,41000,"(5, 5, 0, 176)",1,-0.05,"(5, 5, 0, 175)",0,-0.141978,-0.149265,-0.04858,0.15,0.99,0.694638
185,41500,"(10, 11, 0, 126)",1,-0.05,"(10, 11, 0, 125)",0,-0.014989,-0.022466,-0.04985,0.15,0.99,0.691862
187,42000,"(4, 9, 0, 76)",0,-0.05,"(3, 9, 0, 75)",0,-0.090237,-0.098889,-0.057679,0.15,0.99,0.689098
189,42500,"(9, 10, 0, 26)",3,-0.05,"(9, 9, 0, 25)",0,-0.064348,-0.067081,-0.018222,0.15,0.99,0.686344
192,43000,"(3, 3, 0, 201)",2,-0.05,"(4, 3, 0, 200)",0,-0.226032,-0.22487,0.007752,0.15,0.99,0.682234
194,43500,"(3, 7, 0, 151)",1,-0.05,"(3, 8, 0, 150)",0,-0.144582,-0.151002,-0.042798,0.15,0.99,0.679508
196,44000,"(10, 13, 0, 101)",2,-0.05,"(11, 13, 0, 100)",0,-0.078832,-0.082258,-0.022839,0.15,0.99,0.676793
