episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
347,78000,"(2, 15, 0, 76)",2,-1.05,"(2, 15, 0, 75)",0,1.132916,0.973717,-1.061329,0.15,0.99,0.500227
349,78500,"(5, 15, 0, 26)",3,-0.55,"(5, 14, 0, 25)",0,-4.450097,-4.550586,-0.66993,0.15,0.99,0.498228
352,79000,"(4, 9, 0, 201)",3,-1.05,"(4, 9, 0, 200)",0,-0.2314,-0.35419,-0.8186,0.15,0.99,0.495245
354,79500,"(1, 11, 0, 151)",1,0.45,"(1, 12, 0, 150)",0,1.054424,1.11064,0.374768,0.15,0.99,0.493266
356,80000,"(10, 15, 0, 101)",1,-0.55,"(9, 15, 0, 100)",0,0.874559,1.176859,2.015335,0.15,0.99,0.491295
358,80500,"(7, 15, 0, 51)",2,0.45,"(8, 15, 0, 50)",0,4.815529,5.375313,3.731894,0.15,0.99,0.489332
360,81000,"(3, 11, 1, 1)",1,-21.05,"(3, 11, 1, 0)",1,0.340848,-2.867779,-21.390848,0.15,0.99,0.487376
363,81500,"(1, 10, 0, 176)",1,0.45,"(1, 11, 0, 175)",0,0.913984,0.936936,0.153013,0.15,0.99,0.484458
365,82000,"(5, 15, 0, 126)",0,-1.05,"(5, 15, 0, 125)",0,-1.955876,-2.032635,-0.511725,0.15,0.99,0.482522
367,82500,"(10, 15, 1, 76)",2,-1.05,"(10, 15, 1, 75)",0,-1.158886,-1.314648,-1.038411,0.15,0.99,0.480594
369,83000,"(5, 15, 0, 26)",2,0.45,"(6, 15, 0, 25)",0,-4.321922,-4.275049,0.312486,0.15,0.99,0.478673
372,83500,"(2, 1, 0, 201)",2,0.45,"(3, 1, 0, 200)",0,-2.71738,-2.654698,0.417884,0.15,0.99,0.475807
374,84000,"(1, 13, 0, 151)",1,-1.05,"(1, 13, 0, 150)",0,1.493848,1.334107,-1.064938,0.15,0.99,0.473906
376,84500,"(4, 11, 0, 101)",0,-1.05,"(4, 11, 0, 100)",0,-0.212502,-0.369683,-1.047875,0.15,0.99,0.472012
378,85000,"(5, 15, 0, 51)",2,-1.05,"(5, 15, 0, 50)",0,-1.985032,-2.139554,-1.03015,0.15,0.99,0.470126
380,85500,"(3, 2, 0, 1)",1,-19.55,"(3, 3, 0, 0)",1,-3.833525,-6.190996,-15.716475,0.15,0.99,0.468247
383,86000,"(3, 6, 0, 176)",1,-0.55,"(3, 7, 0, 175)",0,0.572859,0.675972,0.687422,0.15,0.99,0.465443
385,86500,"(5, 15, 0, 126)",1,-1.05,"(5, 15, 0, 125)",0,-2.527793,-2.615364,-0.583805,0.15,0.99,0.463583
387,87000,"(5, 14, 0, 76)",1,0.45,"(5, 15, 0, 75)",0,-2.408865,-2.301797,0.713783,0.15,0.99,0.461731
389,87500,"(6, 3, 0, 26)",3,-1.05,"(6, 3, 0, 25)",0,-4.179178,-4.330409,-1.008208,0.15,0.99,0.459886
392,88000,"(5, 3, 0, 201)",0,-0.55,"(5, 4, 0, 200)",0,-2.385393,-2.383524,0.01246,0.15,0.99,0.457132
394,88500,"(1, 12, 0, 151)",1,0.45,"(1, 13, 0, 150)",0,1.303421,1.406689,0.688454,0.15,0.99,0.455305
396,89000,"(5, 11, 0, 101)",0,-0.55,"(4, 11, 0, 100)",0,-1.169173,-1.197148,-0.186499,0.15,0.99,0.453486
398,89500,"(5, 14, 0, 51)",1,0.45,"(5, 15, 0, 50)",0,-0.954085,-0.78487,1.1281,0.15,0.99,0.451674
400,90000,"(4, 11, 1, 1)",2,-20.55,"(5, 11, 1, 0)",1,-0.379482,-3.405059,-20.170518,0.15,0.99,0.449869
403,90500,"(1, 7, 0, 176)",0,-1.05,"(1, 7, 0, 175)",0,-0.102504,-0.03068,0.478832,0.15,0.99,0.447175
405,91000,"(3, 14, 0, 126)",3,0.45,"(3, 13, 0, 125)",0,1.361777,1.401911,0.267563,0.15,0.99,0.445388
407,91500,"(8, 15, 0, 76)",2,0.45,"(9, 15, 0, 75)",0,8.012681,8.171838,1.061042,0.15,0.99,0.443608
409,92000,"(1, 12, 1, 26)",3,-1.05,"(1, 12, 1, 25)",0,-0.247891,-0.405019,-1.047521,0.15,0.99,0.441836
412,92500,"(5, 7, 0, 201)",1,0.45,"(5, 8, 0, 200)",0,0.986847,1.053797,0.446332,0.15,0.99,0.43919
414,93000,"(3, 2, 0, 151)",3,-1.05,"(3, 2, 0, 150)",0,-3.268938,-3.421534,-1.017311,0.15,0.99,0.437435
416,93500,"(6, 15, 0, 101)",0,-0.55,"(5, 15, 0, 100)",0,-3.414957,-3.362607,0.348999,0.15,0.99,0.435687
418,94000,"(8, 15, 1, 51)",2,-1.05,"(8, 15, 1, 50)",0,-5.586579,-5.7357,-0.994134,0.15,0.99,0.433946
420,94500,"(2, 3, 1, 1)",2,-19.55,"(3, 3, 1, 0)",1,0.124875,-2.826356,-19.674875,0.15,0.99,0.432212
423,95000,"(7, 6, 0, 176)",1,-1.05,"(7, 6, 0, 175)",0,0.033191,-0.124359,-1.050332,0.15,0.99,0.429624
425,95500,"(3, 1, 0, 126)",2,0.45,"(3, 2, 0, 125)",0,-2.299621,-2.304021,-0.02933,0.15,0.99,0.427907
427,96000,"(4, 11, 0, 76)",1,-1.05,"(4, 11, 0, 75)",0,-1.116692,-1.272516,-1.038833,0.15,0.99,0.426197
429,96500,"(10, 15, 1, 26)",0,0.45,"(9, 15, 1, 25)",0,-7.054626,-7.012461,0.2811,0.15,0.99,0.424494
