episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
129,29000,"(1, 14, 0, 26)",1,0.45,"(1, 15, 0, 25)",0,-0.005907,0.036602,0.283397,0.15,0.99,0.420952
132,29500,"(4, 1, 0, 201)",2,-0.55,"(5, 1, 0, 200)",0,-0.737273,-0.731505,0.038449,0.15,0.99,0.407381
134,30000,"(5, 3, 0, 151)",3,-1.05,"(5, 3, 0, 150)",0,-1.145256,-1.243669,-0.656083,0.15,0.99,0.398333
136,30500,"(8, 15, 1, 101)",2,-0.55,"(9, 15, 1, 100)",0,-0.125561,-0.16621,-0.270991,0.15,0.99,0.389286
138,31000,"(3, 3, 0, 51)",0,-0.55,"(3, 2, 0, 50)",0,-1.101995,-1.157103,-0.367382,0.15,0.99,0.380238
140,31500,"(2, 1, 0, 1)",2,-19.55,"(3, 1, 0, 0)",1,-2.576111,-5.122194,-16.973889,0.15,0.99,0.37119
143,32000,"(5, 5, 0, 176)",3,0.45,"(5, 4, 0, 175)",0,-0.133781,-0.149588,-0.105382,0.15,0.99,0.357619
145,32500,"(5, 15, 0, 126)",2,0.45,"(6, 15, 0, 125)",0,-0.372664,-0.367026,0.03759,0.15,0.99,0.348571
147,33000,"(5, 3, 0, 76)",0,0.45,"(4, 3, 0, 75)",0,-0.207367,-0.229031,-0.144424,0.15,0.99,0.339524
149,33500,"(4, 3, 0, 26)",2,-0.55,"(5, 3, 0, 25)",0,-4.683996,-4.248981,2.900094,0.15,0.99,0.330476
152,34000,"(6, 3, 0, 201)",3,-1.05,"(6, 3, 0, 200)",0,-0.495104,-0.651861,-1.045049,0.15,0.99,0.316905
154,34500,"(3, 3, 0, 151)",2,-0.55,"(4, 3, 0, 150)",0,-1.982832,-2.02015,-0.248785,0.15,0.99,0.307857
156,35000,"(1, 5, 0, 101)",1,0.45,"(1, 6, 0, 100)",0,0.945054,1.038053,0.619989,0.15,0.99,0.29881
158,35500,"(5, 13, 0, 51)",1,0.45,"(5, 14, 0, 50)",0,-1.195549,-1.191732,0.025444,0.15,0.99,0.289762
160,36000,"(2, 5, 0, 1)",0,-21.05,"(2, 5, 0, 0)",1,0.148039,-3.031666,-21.198039,0.15,0.99,0.280714
163,36500,"(3, 7, 0, 176)",1,-0.55,"(3, 8, 0, 175)",0,-0.229868,-0.292676,-0.418723,0.15,0.99,0.267143
165,37000,"(6, 3, 0, 126)",0,0.45,"(5, 3, 0, 125)",0,-0.746759,-0.731834,0.099499,0.15,0.99,0.258095
167,37500,"(5, 3, 0, 76)",1,-0.55,"(5, 4, 0, 75)",0,-0.588209,-0.631471,-0.288417,0.15,0.99,0.249048
169,38000,"(2, 3, 0, 26)",2,-0.55,"(3, 3, 0, 25)",0,-1.741476,-1.763699,-0.148152,0.15,0.99,0.24
172,38500,"(8, 1, 0, 201)",2,-0.55,"(9, 1, 0, 200)",0,-0.651596,-0.630221,0.1425,0.15,0.99,0.226429
174,39000,"(1, 3, 0, 151)",2,-1.05,"(1, 3, 0, 150)",0,-3.142099,-3.294886,-1.018579,0.15,0.99,0.217381
176,39500,"(5, 15, 0, 101)",3,-0.55,"(5, 14, 0, 100)",0,-1.690026,-1.697026,-0.046672,0.15,0.99,0.208333
178,40000,"(2, 1, 0, 51)",0,-0.55,"(1, 1, 0, 50)",0,-0.601933,-0.620883,-0.126328,0.15,0.99,0.199286
180,40500,"(1, 7, 1, 1)",0,-21.05,"(1, 7, 1, 0)",1,0.0,-3.1575,-21.05,0.15,0.99,0.190238
183,41000,"(3, 7, 0, 176)",3,-1.05,"(3, 7, 0, 175)",0,0.13699,-0.020716,-1.05137,0.15,0.99,0.176667
185,41500,"(4, 3, 0, 126)",3,-1.05,"(4, 3, 0, 125)",0,-1.87911,-2.033791,-1.031209,0.15,0.99,0.167619
187,42000,"(4, 11, 0, 76)",2,0.45,"(5, 11, 0, 75)",0,-0.205077,-0.19251,0.083778,0.15,0.99,0.158571
189,42500,"(8, 15, 1, 26)",2,-0.55,"(9, 15, 1, 25)",0,-4.670528,-4.683471,-0.086284,0.15,0.99,0.149524
192,43000,"(5, 3, 0, 201)",1,-0.55,"(5, 4, 0, 200)",0,-1.695476,-1.720125,-0.164325,0.15,0.99,0.135952
194,43500,"(5, 15, 0, 151)",3,-0.55,"(5, 14, 0, 150)",0,-0.191749,-0.242034,-0.335232,0.15,0.99,0.126905
196,44000,"(6, 15, 0, 101)",0,-0.55,"(5, 15, 0, 100)",0,-3.089083,-3.066202,0.15254,0.15,0.99,0.117857
198,44500,"(4, 1, 0, 51)",0,0.45,"(3, 1, 0, 50)",0,-0.590969,-0.593525,-0.017043,0.15,0.99,0.10881
200,45000,"(6, 15, 0, 1)",0,-20.55,"(5, 15, 0, 0)",1,-6.728483,-8.801711,-13.821517,0.15,0.99,0.099762
203,45500,"(7, 3, 0, 176)",0,0.45,"(6, 3, 0, 175)",0,-1.52443,-1.510081,0.095661,0.15,0.99,0.08619
205,46000,"(6, 1, 0, 126)",0,-1.05,"(6, 1, 0, 125)",0,-0.296089,-0.453145,-1.047039,0.15,0.99,0.077143
207,46500,"(4, 1, 0, 76)",3,-1.05,"(4, 1, 0, 75)",0,-0.726392,-0.882803,-1.042736,0.15,0.99,0.068095
209,47000,"(5, 12, 1, 26)",3,0.45,"(5, 11, 1, 25)",0,0.478893,0.472981,-0.039414,0.15,0.99,0.059048
212,47500,"(5, 3, 0, 201)",0,-1.05,"(5, 3, 0, 200)",0,-2.113289,-2.267619,-1.028867,0.15,0.99,0.05
214,48000,"(5, 15, 0, 151)",2,0.45,"(6, 15, 0, 150)",0,-1.042155,-1.06887,-0.178103,0.15,0.99,0.05
216,48500,"(5, 11, 1, 101)",0,0.45,"(4, 11, 1, 100)",0,0.044941,0.094938,0.333307,0.15,0.99,0.05
218,49000,"(3, 1, 0, 51)",0,-0.55,"(2, 1, 0, 50)",0,-1.320224,-1.316323,0.026007,0.15,0.99,0.05
220,49500,"(9, 3, 0, 1)",3,-19.55,"(9, 2, 0, 0)",1,0.098718,-2.84859,-19.648718,0.15,0.99,0.05
223,50000,"(8, 1, 0, 176)",2,-0.55,"(9, 1, 0, 175)",0,-1.099548,-1.097329,0.014796,0.15,0.99,0.05
225,50500,"(1, 3, 0, 126)",2,-0.55,"(2, 3, 0, 125)",0,-3.344912,-3.373448,-0.190238,0.15,0.99,0.05
227,51000,"(7, 3, 0, 76)",0,0.45,"(6, 3, 0, 75)",0,-0.06619,-0.05754,0.057667,0.15,0.99,0.05
229,51500,"(3, 9, 1, 26)",2,0.45,"(4, 9, 1, 25)",0,0.0,0.0675,0.45,0.15,0.99,0.05
232,52000,"(5, 3, 0, 201)",1,0.45,"(4, 3, 0, 200)",0,-2.211426,-2.238905,-0.183195,0.15,0.99,0.05
234,52500,"(3, 2, 0, 151)",3,-1.05,"(3, 2, 0, 150)",0,-2.289659,-2.443724,-1.027103,0.15,0.99,0.05
236,53000,"(4, 3, 0, 101)",2,-0.55,"(5, 3, 0, 100)",0,-1.870501,-1.854799,0.104677,0.15,0.99,0.05
238,53500,"(3, 2, 0, 51)",1,0.45,"(3, 3, 0, 50)",0,-1.85475,-1.828784,0.173104,0.15,0.99,0.05
240,54000,"(3, 6, 1, 1)",1,-21.05,"(3, 6, 1, 0)",1,0.0,-3.1575,-21.05,0.15,0.99,0.05
243,54500,"(9, 3, 0, 176)",3,0.45,"(9, 2, 0, 175)",0,-0.073884,-0.074786,-0.006012,0.15,0.99,0.05
245,55000,"(5, 13, 0, 126)",2,-1.05,"(5, 13, 0, 125)",0,-1.797232,-1.952036,-1.032028,0.15,0.99,0.05
247,55500,"(5, 12, 0, 76)",1,0.45,"(5, 13, 0, 75)",0,-2.414765,-2.402598,0.081113,0.15,0.99,0.05
249,56000,"(7, 3, 0, 26)",2,-1.05,"(7, 3, 0, 25)",0,-0.785141,-0.941463,-1.042149,0.15,0.99,0.05
252,56500,"(5, 4, 0, 201)",1,-1.05,"(5, 4, 0, 200)",0,-2.105412,-2.259754,-1.028946,0.15,0.99,0.05
254,57000,"(5, 14, 0, 151)",0,-1.05,"(5, 14, 0, 150)",0,-1.318464,-1.473986,-1.036815,0.15,0.99,0.05
256,57500,"(3, 11, 0, 101)",1,-0.55,"(3, 12, 0, 100)",0,-0.205236,-0.207519,-0.015217,0.15,0.99,0.05
258,58000,"(2, 3, 0, 51)",2,-0.55,"(3, 3, 0, 50)",0,-2.835391,-2.835937,-0.003642,0.15,0.99,0.05
260,58500,"(3, 13, 1, 1)",3,-21.05,"(3, 13, 1, 0)",1,-0.706406,-3.757945,-20.343594,0.15,0.99,0.05
263,59000,"(3, 15, 0, 176)",3,-0.55,"(2, 15, 0, 175)",0,0.640412,0.547547,-0.6191,0.15,0.99,0.05
265,59500,"(5, 14, 0, 126)",0,-1.05,"(5, 14, 0, 125)",0,-2.427066,-2.580925,-1.025729,0.15,0.99,0.05
267,60000,"(5, 14, 0, 76)",2,-1.05,"(5, 14, 0, 75)",0,-3.487487,-3.639756,-1.015125,0.15,0.99,0.05
269,60500,"(8, 15, 1, 26)",0,-4.55,"(7, 15, 1, 25)",0,-7.528622,-7.319413,1.394727,0.15,0.99,0.05
272,61000,"(7, 3, 0, 201)",0,-1.05,"(7, 3, 0, 200)",0,-2.059161,-2.213573,-1.029408,0.15,0.99,0.05
274,61500,"(5, 14, 0, 151)",1,0.45,"(5, 15, 0, 150)",0,-2.144951,-2.112494,0.216382,0.15,0.99,0.05
276,62000,"(5, 11, 0, 101)",0,-0.55,"(4, 11, 0, 100)",0,-1.91792,-1.936199,-0.121861,0.15,0.99,0.05
278,62500,"(4, 9, 1, 51)",2,-1.05,"(4, 9, 1, 50)",0,-0.102542,-0.259888,-1.048975,0.15,0.99,0.05
280,63000,"(4, 11, 1, 1)",1,-21.05,"(4, 11, 1, 0)",1,-4.810591,-7.246503,-16.239409,0.15,0.99,0.05
283,63500,"(5, 15, 0, 176)",3,-0.55,"(5, 14, 0, 175)",0,-0.459162,-0.510023,-0.339074,0.15,0.99,0.05
285,64000,"(3, 11, 0, 126)",1,-0.55,"(3, 12, 0, 125)",0,-0.901705,-0.903999,-0.015292,0.15,0.99,0.05
287,64500,"(6, 15, 0, 76)",0,-1.05,"(6, 15, 0, 75)",0,-4.641961,-4.792498,-1.00358,0.15,0.99,0.05
289,65000,"(3, 14, 1, 26)",1,0.45,"(3, 15, 1, 25)",0,-4.809332,-4.672087,0.914966,0.15,0.99,0.05
292,65500,"(5, 4, 0, 201)",1,-1.05,"(5, 4, 0, 200)",0,-2.268915,-2.423011,-1.027311,0.15,0.99,0.05
294,66000,"(5, 12, 0, 151)",3,-1.05,"(5, 12, 0, 150)",0,-1.769687,-1.924533,-1.032303,0.15,0.99,0.05
296,66500,"(3, 6, 1, 88)",1,0.45,"(3, 7, 1, 87)",0,0.0,0.0675,0.45,0.15,0.99,0.05
298,67000,"(1, 6, 1, 21)",3,0.45,"(1, 5, 1, 20)",0,0.075239,0.0989,0.157739,0.15,0.99,0.05
