episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
127,28500,"(2, 15, 0, 76)",2,-0.05,"(3, 15, 0, 75)",0,-0.025013,-0.031792,-0.04519,0.15,0.99,0.43
129,29000,"(10, 13, 0, 26)",3,-0.05,"(10, 13, 0, 25)",0,-0.035595,-0.043042,-0.049644,0.15,0.99,0.420952
132,29500,"(10, 1, 0, 201)",3,-0.05,"(10, 1, 0, 200)",0,-0.072663,-0.075945,-0.021881,0.15,0.99,0.407381
134,30000,"(10, 11, 0, 151)",1,-0.05,"(10, 11, 0, 150)",0,-0.014989,-0.022466,-0.04985,0.15,0.99,0.398333
136,30500,"(7, 11, 0, 101)",1,-0.05,"(7, 12, 0, 100)",0,-0.039204,-0.045285,-0.040536,0.15,0.99,0.389286
138,31000,"(3, 6, 0, 51)",3,-0.05,"(3, 6, 0, 50)",0,-0.080946,-0.08723,-0.041893,0.15,0.99,0.380238
140,31500,"(12, 1, 0, 1)",0,-0.05,"(11, 1, 0, 0)",1,-0.060077,-0.058566,0.010077,0.15,0.99,0.37119
143,32000,"(2, 5, 0, 176)",0,-0.05,"(1, 5, 0, 175)",0,-0.118958,-0.126868,-0.052732,0.15,0.99,0.357619
145,32500,"(7, 12, 0, 126)",3,-0.05,"(7, 11, 0, 125)",0,-0.024846,-0.034347,-0.063343,0.15,0.99,0.348571
147,33000,"(7, 1, 0, 76)",1,-0.05,"(7, 1, 0, 75)",0,-0.083497,-0.090872,-0.049165,0.15,0.99,0.339524
149,33500,"(11, 8, 0, 26)",0,-0.05,"(11, 8, 0, 25)",0,-0.041528,-0.048966,-0.049585,0.15,0.99,0.330476
152,34000,"(1, 7, 0, 201)",3,-0.05,"(1, 6, 0, 200)",0,-0.048815,-0.05951,-0.071301,0.15,0.99,0.316905
154,34500,"(7, 11, 0, 151)",0,-0.05,"(7, 11, 0, 150)",0,-0.041732,-0.046143,-0.029409,0.15,0.99,0.307857
156,35000,"(1, 3, 0, 101)",3,-0.05,"(1, 3, 0, 100)",0,-0.06131,-0.068718,-0.049387,0.15,0.99,0.29881
158,35500,"(5, 1, 0, 51)",3,-0.05,"(5, 1, 0, 50)",0,-0.07048,-0.077874,-0.049295,0.15,0.99,0.289762
160,36000,"(14, 9, 0, 1)",1,-0.05,"(15, 9, 0, 0)",1,-0.032082,-0.034769,-0.017918,0.15,0.99,0.280714
163,36500,"(7, 8, 0, 176)",2,-0.05,"(7, 8, 0, 175)",0,-0.032577,-0.040029,-0.049674,0.15,0.99,0.267143
165,37000,"(1, 11, 0, 126)",3,-0.05,"(1, 10, 0, 125)",0,-0.073302,-0.083001,-0.064662,0.15,0.99,0.258095
167,37500,"(8, 5, 0, 76)",2,-0.05,"(9, 5, 0, 75)",0,-0.073436,-0.080797,-0.049073,0.15,0.99,0.249048
169,38000,"(3, 14, 0, 26)",3,-0.05,"(3, 13, 0, 25)",0,-0.047211,-0.053188,-0.039846,0.15,0.99,0.24
172,38500,"(7, 9, 0, 201)",2,-0.05,"(8, 9, 0, 200)",0,0.0,-0.0075,-0.05,0.15,0.99,0.226429
174,39000,"(11, 6, 0, 151)",1,-0.05,"(11, 6, 0, 150)",0,-0.021354,-0.027877,-0.043485,0.15,0.99,0.217381
176,39500,"(9, 5, 0, 101)",0,-0.05,"(8, 5, 0, 100)",0,-0.093727,-0.101545,-0.052125,0.15,0.99,0.208333
178,40000,"(1, 5, 0, 51)",1,-0.05,"(1, 6, 0, 50)",0,-0.081145,-0.087311,-0.041108,0.15,0.99,0.199286
180,40500,"(1, 11, 0, 1)",3,-0.05,"(1, 10, 0, 0)",1,-0.079022,-0.074669,0.029022,0.15,0.99,0.190238
183,41000,"(1, 1, 0, 176)",1,-0.05,"(2, 1, 0, 175)",0,-0.165655,-0.172747,-0.047276,0.15,0.99,0.176667
185,41500,"(4, 1, 0, 126)",3,-0.05,"(4, 1, 0, 125)",0,-0.111766,-0.119098,-0.048882,0.15,0.99,0.167619
187,42000,"(7, 11, 0, 76)",2,-0.05,"(7, 11, 0, 75)",0,-0.089705,-0.095864,-0.041058,0.15,0.99,0.158571
189,42500,"(9, 13, 0, 26)",2,-0.05,"(10, 13, 0, 25)",0,-0.085196,-0.094757,-0.063739,0.15,0.99,0.149524
192,43000,"(1, 4, 0, 201)",0,-0.05,"(1, 4, 0, 200)",0,-0.175943,-0.183179,-0.048241,0.15,0.99,0.135952
194,43500,"(9, 3, 0, 151)",2,-0.05,"(10, 3, 0, 150)",0,-0.115323,-0.121153,-0.038873,0.15,0.99,0.126905
196,44000,"(12, 5, 0, 101)",3,-0.05,"(12, 5, 0, 100)",0,-0.068173,-0.07557,-0.049318,0.15,0.99,0.117857
198,44500,"(9, 11, 0, 51)",2,-0.05,"(10, 11, 0, 50)",0,-0.066751,-0.074374,-0.050815,0.15,0.99,0.10881
200,45000,"(9, 3, 0, 1)",3,-0.05,"(9, 2, 0, 0)",1,-0.077017,-0.072965,0.027017,0.15,0.99,0.099762
203,45500,"(12, 5, 0, 176)",2,-0.05,"(13, 5, 0, 175)",0,-0.010836,-0.021572,-0.071574,0.15,0.99,0.08619
205,46000,"(10, 3, 0, 126)",3,-0.05,"(11, 3, 0, 125)",0,-0.132153,-0.13639,-0.028248,0.15,0.99,0.077143
207,46500,"(15, 10, 0, 76)",3,-0.05,"(15, 9, 0, 75)",0,-0.037714,-0.047631,-0.066119,0.15,0.99,0.068095
209,47000,"(5, 4, 0, 26)",0,-0.05,"(5, 4, 0, 25)",0,-0.095407,-0.102764,-0.049046,0.15,0.99,0.059048
212,47500,"(3, 7, 0, 201)",2,-0.05,"(3, 6, 0, 200)",0,-0.020623,-0.033226,-0.084021,0.15,0.99,0.05
214,48000,"(9, 8, 0, 151)",2,-0.05,"(9, 8, 0, 150)",0,-0.055359,-0.062776,-0.049446,0.15,0.99,0.05
216,48500,"(14, 9, 0, 101)",0,-0.05,"(13, 9, 0, 100)",0,-0.05263,-0.05955,-0.046136,0.15,0.99,0.05
218,49000,"(9, 3, 0, 51)",1,-0.05,"(9, 4, 0, 50)",0,-0.106991,-0.115034,-0.053615,0.15,0.99,0.05
220,49500,"(9, 8, 0, 1)",0,-0.05,"(9, 8, 0, 0)",1,-0.071726,-0.068467,0.021726,0.15,0.99,0.05
223,50000,"(7, 12, 0, 176)",2,-0.05,"(7, 12, 0, 175)",0,-0.022466,-0.029933,-0.049775,0.15,0.99,0.05
225,50500,"(9, 1, 0, 126)",2,-0.05,"(10, 1, 0, 125)",0,-0.13496,-0.13942,-0.029737,0.15,0.99,0.05
227,51000,"(9, 1, 0, 76)",2,-0.05,"(10, 1, 0, 75)",0,-0.116518,-0.12068,-0.027744,0.15,0.99,0.05
229,51500,"(12, 7, 0, 26)",1,-0.05,"(12, 7, 0, 25)",0,-0.05999,-0.0674,-0.0494,0.15,0.99,0.05
232,52000,"(5, 8, 0, 201)",0,-0.05,"(5, 7, 0, 200)",0,-0.035549,-0.048597,-0.086985,0.15,0.99,0.05
234,52500,"(7, 3, 0, 151)",2,-0.05,"(7, 3, 0, 150)",0,-0.143636,-0.150921,-0.048564,0.15,0.99,0.05
236,53000,"(9, 4, 0, 101)",2,-0.05,"(9, 4, 0, 100)",0,-0.117324,-0.124648,-0.048827,0.15,0.99,0.05
238,53500,"(9, 9, 0, 51)",0,-0.05,"(8, 9, 0, 50)",0,-0.08687,-0.097734,-0.072427,0.15,0.99,0.05
240,54000,"(15, 10, 0, 1)",3,-0.05,"(15, 10, 0, 0)",1,-0.098662,-0.091363,0.048662,0.15,0.99,0.05
243,54500,"(3, 7, 0, 176)",2,-0.05,"(3, 7, 0, 175)",0,-0.15709,-0.164354,-0.048429,0.15,0.99,0.05
245,55000,"(15, 4, 0, 126)",2,-0.05,"(15, 4, 0, 125)",0,-0.094494,-0.101853,-0.049055,0.15,0.99,0.05
247,55500,"(13, 8, 0, 76)",0,-0.05,"(13, 8, 0, 75)",0,-0.074774,-0.082162,-0.049252,0.15,0.99,0.05
249,56000,"(14, 1, 0, 26)",0,-0.05,"(13, 1, 0, 25)",0,-0.08417,-0.091198,-0.046855,0.15,0.99,0.05
252,56500,"(15, 1, 0, 201)",2,-0.05,"(15, 2, 0, 200)",0,-0.014989,-0.02024,-0.035011,0.15,0.99,0.05
254,57000,"(13, 4, 0, 151)",2,-0.05,"(13, 4, 0, 150)",0,-0.11074,-0.118074,-0.048893,0.15,0.99,0.05
256,57500,"(1, 3, 0, 101)",1,-0.05,"(1, 4, 0, 100)",0,-0.132096,-0.14171,-0.064098,0.15,0.99,0.05
258,58000,"(12, 7, 0, 51)",1,-0.05,"(12, 7, 0, 50)",0,-0.068493,-0.07589,-0.049315,0.15,0.99,0.05
260,58500,"(1, 3, 0, 1)",0,-0.05,"(1, 3, 0, 0)",1,-0.113391,-0.103882,0.063391,0.15,0.99,0.05
263,59000,"(13, 5, 0, 176)",2,-0.05,"(13, 4, 0, 175)",0,-0.064877,-0.076556,-0.077863,0.15,0.99,0.05
265,59500,"(12, 1, 0, 126)",0,-0.05,"(11, 1, 0, 125)",0,-0.119649,-0.128336,-0.057913,0.15,0.99,0.05
267,60000,"(11, 10, 0, 76)",1,-0.05,"(11, 11, 0, 75)",0,-0.088908,-0.095097,-0.04126,0.15,0.99,0.05
269,60500,"(15, 8, 0, 26)",1,-0.05,"(15, 9, 0, 25)",0,-0.102783,-0.111263,-0.056533,0.15,0.99,0.05
272,61000,"(9, 5, 0, 201)",3,-0.05,"(9, 5, 0, 200)",0,-0.067434,-0.071476,-0.02695,0.15,0.99,0.05
274,61500,"(3, 5, 0, 151)",0,-0.05,"(2, 5, 0, 150)",0,-0.181777,-0.190679,-0.05934,0.15,0.99,0.05
276,62000,"(3, 14, 0, 101)",3,-0.05,"(3, 13, 0, 100)",0,-0.079659,-0.082139,-0.016538,0.15,0.99,0.05
278,62500,"(2, 15, 0, 51)",0,-0.05,"(2, 15, 0, 50)",0,-0.087503,-0.094871,-0.049125,0.15,0.99,0.05
280,63000,"(8, 9, 0, 1)",3,-0.05,"(8, 9, 0, 0)",1,-0.101987,-0.094189,0.051987,0.15,0.99,0.05
283,63500,"(1, 12, 0, 176)",3,-0.05,"(1, 11, 0, 175)",0,-0.10361,-0.113908,-0.068655,0.15,0.99,0.05
285,64000,"(5, 9, 0, 126)",3,-0.05,"(5, 8, 0, 125)",0,-0.143464,-0.150095,-0.044201,0.15,0.99,0.05
287,64500,"(8, 5, 0, 76)",3,-0.05,"(7, 5, 0, 75)",0,-0.128742,-0.137131,-0.055932,0.15,0.99,0.05
289,65000,"(13, 9, 0, 26)",2,-0.05,"(14, 9, 0, 25)",0,-0.134214,-0.139868,-0.037693,0.15,0.99,0.05
292,65500,"(1, 4, 0, 201)",1,-0.05,"(1, 4, 0, 200)",0,-0.226971,-0.23413,-0.04773,0.15,0.99,0.05
294,66000,"(5, 9, 0, 151)",0,-0.05,"(5, 9, 0, 150)",0,-0.167917,-0.175165,-0.048321,0.15,0.99,0.05
296,66500,"(12, 1, 0, 101)",1,-0.05,"(13, 1, 0, 100)",0,-0.120851,-0.128201,-0.049002,0.15,0.99,0.05
298,67000,"(15, 4, 0, 51)",2,-0.05,"(15, 4, 0, 50)",0,-0.128295,-0.135603,-0.048717,0.15,0.99,0.05
300,67500,"(9, 9, 0, 1)",1,-0.05,"(9, 10, 0, 0)",1,-0.107334,-0.098734,0.057334,0.15,0.99,0.05
